video_title,video,views,comments,likes,dislikes,estimatedMinutesWatched,subscribersGained,subscribersLost
5 Tips to SHOOT better B ROLL!,L2IJGYAi4VA,4913,1,53,1,14474,73,0
5 Mobile Photography IDEAS and HACKS you must try!,M5taEYdB_Rc,56380,9,-125,-33,80482,602,15
7 AMAZING Lightroom Tips you should know!,5Kep-_EYURc,373,0,-10,0,1211,2,0
How to shoot YouTube Videos?,ke5gbiN_DJU,256,0,-17,0,712,5,0
Snapseed vs Lightroom | What should you use?,tca_gA0w88U,8168,2,121,3,15523,76,0
5 Mobile Photography Tips you should know!,Dv7cHLdvMIg,187474,38,2432,6,305242,2099,48
Photography Live QnA &amp; Updates!,3awGiAN1wMo,142,0,2,1,229,0,0
Best Vlogging Camera for 2019?,1oW9pte_Shw,71,0,-2,0,68,0,0
5 Travel Photography Tips you must know!,4h9XA-AENfw,844,1,10,0,1618,6,0
Exploring Bali | Travel Vlog,6vlzTrcR3o4,194,0,-7,-1,364,0,0
Live From The Top Of Singapore!,KP51znHmgiQ,71,0,1,0,58,0,0
Best Lens for Portrait Photography!,HNV7u1-wdog,4391,0,69,3,6381,37,2
Mobile Photography: Pro Mode Tutorial!,2VYeViNUnPI,190966,34,4372,35,327504,2049,33
5 Ways to Protect your Camera Gear from Rain!,ykRa6wwClgo,7834,4,238,2,14086,63,0
Camera Settings for Beginners Under 10 Minutes!,Uhj4cWdj94E,4392,1,63,-3,13934,45,1
Insta360 ONE X Review | It&#39;s AWESOME!,quSwR1TMxok,134,0,-12,-1,255,0,0
